id,x_position,y_position,rssi,ssid
2,1096,1208,-76,matuli
3,1747.9999999999998,1212,-75,matuli
4,1745.9999999999998,575.9999999999999,-75,matuli
5,1747.9999999999998,932,-75,matuli
